dt;year; AverageTemperature ;Country
1-02-1970;1970; 21.538 ;Argentina
1-01-1970;1970; 20.963 ;Argentina
1-10-1982;1982; 10 ;Chile
1-10-1995;1995; 10 ;Chile
1-06-1988;1988; 10 ;Uruguay
1-10-1981;1981; 10 ;Chile
1-04-1972;1972; 10 ;Chile
1-10-1978;1978; 10 ;Chile
1-04-1986;1986; 10 ;Chile
1-10-1975;1975; 9 ;Chile
1-09-2012;2012; 9 ;Chile
1-12-1970;1970; 20.351 ;Argentina
1-09-1991;1991; 8 ;Chile
1-05-1978;1978; 8 ;Chile
1-05-1994;1994; 8 ;Chile
1-03-1970;1970; 18.698 ;Argentina
1-09-2001;2001; 8 ;Chile
1-09-1992;1992; 8 ;Chile
1-09-2005;2005; 8 ;Chile
1-05-2002;2002; 7 ;Chile
1-11-1970;1970; 17.651 ;Argentina
1-08-2002;2002; 7 ;Chile
1-08-2003;2003; 7 ;Chile
1-08-1998;1998; 7 ;Chile
1-08-1994;1994; 7 ;Chile
1-06-1994;1994; 6 ;Chile
1-05-2007;2007; 6 ;Chile
1-06-1987;1987; 6 ;Chile
1-06-2006;2006; 6 ;Chile
1-06-2011;2011; 6 ;Chile
1-04-1970;1970; 16.784 ;Argentina
1-07-1979;1979; 6 ;Chile
1-07-1986;1986; 6 ;Chile
1-06-1991;1991; 6 ;Chile
1-06-1995;1995; 6 ;Chile
1-08-1975;1975; 6 ;Chile
1-07-1983;1983; 5 ;Chile
1-07-2004;2004; 5 ;Chile
1-07-1970;1970; 5 ;Chile
1-07-1993;1993; 5 ;Chile
1-07-1991;1991; 5 ;Chile
1-07-2000;2000; 4 ;Chile
1-04-1983;1983; 28 ;Panama
1-01-1970;1970; 28 ;Paraguay
1-06-1998;1998; 28 ;Panama
1-01-2003;2003; 28 ;Panama
1-12-1978;1978; 28 ;Paraguay
1-05-1988;1988; 28 ;Panama
1-02-2005;2005; 28 ;Paraguay
1-12-1977;1977; 28 ;Paraguay
1-04-1985;1985; 27 ;Panama
1-02-1981;1981; 27 ;Panama
1-03-1998;1998; 27 ;Venezuela
1-02-2003;2003; 27 ;Paraguay
1-07-2005;2005; 27 ;Panama
1-04-1977;1977; 27 ;Panama
1-07-1986;1986; 27 ;Panama
1-11-2012;2012; 27 ;Paraguay
1-02-1997;1997; 27 ;Panama
1-07-2007;2007; 27 ;Panama
1-03-2007;2007; 27 ;Paraguay
1-10-2012;2012; 27 ;Brazil
1-05-1985;1985; 27 ;Panama
1-06-2002;2002; 27 ;Panama
1-12-1994;1994; 27 ;Panama
1-01-1973;1973; 27 ;Panama
1-08-2011;2011; 27 ;Panama
1-07-1980;1980; 27 ;Panama
1-08-1998;1998; 27 ;Panama
1-01-1989;1989; 27 ;Paraguay
1-05-1984;1984; 27 ;Panama
1-02-1970;1970; 27 ;Paraguay
1-04-1972;1972; 27 ;Panama
1-11-1987;1987; 27 ;Panama
1-07-2011;2011; 27 ;Panama
1-01-2009;2009; 27 ;Panama
1-04-1992;1992; 27 ;Venezuela
1-11-1997;1997; 27 ;Panama
1-07-1973;1973; 27 ;Panama
1-03-1992;1992; 27 ;Venezuela
1-02-1990;1990; 27 ;Paraguay
1-03-1998;1998; 27 ;Brazil
1-04-2004;2004; 27 ;Venezuela
1-02-1989;1989; 27 ;Panama
1-06-1988;1988; 27 ;Panama
1-12-2003;2003; 27 ;Brazil
1-09-2009;2009; 27 ;Brazil
1-04-1973;1973; 27 ;Venezuela
1-02-1995;1995; 27 ;Colombia
1-02-1978;1978; 26 ;Venezuela
1-11-2009;2009; 26 ;Panama
1-02-2004;2004; 26 ;Colombia
1-11-1993;1993; 26 ;Panama
1-01-1983;1983; 26 ;Colombia
1-07-2001;2001; 26 ;Panama
1-02-2005;2005; 26 ;Brazil
1-11-1978;1978; 26 ;Panama
1-05-1991;1991; 26 ;Venezuela
1-10-1995;1995; 26 ;Brazil
1-11-2010;2010; 26 ;Brazil
1-03-1995;1995; 26 ;Paraguay
1-03-2005;2005; 26 ;Brazil
1-03-1991;1991; 26 ;Venezuela
1-12-1970;1970; 26 ;Brazil
1-02-1977;1977; 26 ;Colombia
1-09-1997;1997; 26 ;Venezuela
1-09-1988;1988; 26 ;Brazil
1-11-2005;2005; 26 ;Panama
1-02-2006;2006; 26 ;Brazil
1-04-1991;1991; 26 ;Venezuela
1-03-1990;1990; 26 ;Brazil
1-03-2009;2009; 26 ;Brazil
1-09-1985;1985; 26 ;Panama
1-10-1980;1980; 26 ;Brazil
1-04-2000;2000; 26 ;Venezuela
1-11-1985;1985; 26 ;Brazil
