country;country_code;population;indicator;weekly_count_cases;weekly_count_death;year_week;rate_14_day_cases;rate_14_day_death;cumulative_count_cases;cumulative_count_death;death_general_men;death_general_woman;union_key;FirstDose;TargetGroup
Belgium;BEL;11566041;cases;0;0;2020-01;;0;0;0;1092;1142;Belgium2020-01;0;
Belgium;BEL;11566041;cases;0;0;2020-02;0;0;0;0;1187;1201;Belgium2020-02;0;
Belgium;BEL;11566041;cases;0;0;2020-03;0;0;0;0;1159;1155;Belgium2020-03;0;
Belgium;BEL;11566041;cases;0;0;2020-04;0;0;0;0;1072;1132;Belgium2020-04;0;
Belgium;BEL;11566041;cases;2;0;2020-05;0.017292002;0;2;0;1164;1192;Belgium2020-05;0;
Belgium;BEL;11566041;cases;1;0;2020-06;0.025938002;0;3;0;1086;1083;Belgium2020-06;0;
Belgium;BEL;11566041;cases;0;0;2020-07;0.008646001;0;3;0;1144;1163;Belgium2020-07;0;
Belgium;BEL;11566041;cases;0;0;2020-08;0;0;3;0;1109;1192;Belgium2020-08;0;
Belgium;BEL;11566041;cases;0;0;2020-09;0;0;3;0;1103;1146;Belgium2020-09;0;
Belgium;BEL;11566041;cases;0;0;2020-10;0;0;3;0;1076;1136;Belgium2020-10;0;
Belgium;BEL;11566041;cases;3678;0;2020-11;31.79999103;0;3681;0;1142;1092;Belgium2020-11;0;
Belgium;BEL;11566041;cases;3673;195;2020-12;63.55675205;16.8597016;7354;195;1268;1286;Belgium2020-12;0;
Belgium;BEL;11566041;cases;8130;783;2020-13;102.0487477;84.55788804;15484;978;1620;1578;Belgium2020-13;0;
Belgium;BEL;11566041;cases;9694;1584;2020-14;154.1063187;204.6508395;25178;2562;1981;2040;Belgium2020-14;0;
Belgium;BEL;11566041;cases;11175;1976;2020-15;180.4333912;307.7976293;36353;4538;2025;2267;Belgium2020-15;0;
Belgium;BEL;11566041;cases;7963;1666;2020-16;165.4671637;314.88735;44316;6204;1712;1991;Belgium2020-16;0;
Belgium;BEL;11566041;cases;5703;1186;2020-17;118.1562472;246.5839435;50019;7390;1386;1653;Belgium2020-17;0;
Belgium;BEL;11566041;cases;3095;696;2020-18;76.06751524;162.7177355;53114;8086;1105;1324;Belgium2020-18;0;
Belgium;BEL;11566041;cases;3051;533;2020-19;53.13832106;106.2593501;56165;8619;1138;1252;Belgium2020-19;0;
Belgium;BEL;11566041;cases;2071;312;2020-20;44.28481621;73.05870695;58236;8931;983;1059;Belgium2020-20;0;
Belgium;BEL;11566041;cases;1510;231;2020-21;30.96132895;46.94778447;59746;9162;1028;1054;Belgium2020-21;0;
Belgium;BEL;11566041;cases;1144;161;2020-22;22.94648618;33.89232322;60890;9323;969;1014;Belgium2020-22;0;
Belgium;BEL;11566041;cases;847;109;2020-23;17.21418764;23.34420222;61737;9432;823;976;Belgium2020-23;0;
Belgium;BEL;11566041;cases;671;57;2020-24;13.12462925;14.35236137;62408;9489;912;987;Belgium2020-24;0;
Belgium;BEL;11566041;cases;668;40;2020-25;11.5769951;8.386620798;63076;9529;898;924;Belgium2020-25;0;
Belgium;BEL;11566041;cases;607;40;2020-26;11.02365105;6.916800658;63683;9569;978;990;Belgium2020-26;0;
Belgium;BEL;11566041;cases;637;24;2020-27;10.75562502;5.533440526;64320;9593;871;897;Belgium2020-27;0;
Belgium;BEL;11566041;cases;704;11;2020-28;11.5942871;3.026100288;65024;9604;822;860;Belgium2020-28;0;
Belgium;BEL;11566041;cases;1385;18;2020-29;18.06149572;2.507340239;66409;9622;924;935;Belgium2020-29;0;
Belgium;BEL;11566041;cases;2489;14;2020-30;33.49460719;2.766720263;68898;9636;888;922;Belgium2020-30;0;
Belgium;BEL;11566041;cases;3759;21;2020-31;54.02021314;3.026100288;72657;9657;933;1014;Belgium2020-31;0;
Belgium;BEL;11566041;cases;4340;33;2020-32;70.02396066;4.668840444;76997;9690;999;1047;Belgium2020-32;0;
Belgium;BEL;11566041;cases;3751;74;2020-33;69.95479266;9.25122088;80748;9764;1323;1559;Belgium2020-33;0;
Belgium;BEL;11566041;cases;3453;41;2020-34;62.28578993;9.942900946;84201;9805;1101;1114;Belgium2020-34;0;
Belgium;BEL;11566041;cases;3121;24;2020-35;56.83880941;5.619900535;87322;9829;907;972;Belgium2020-35;0;
Belgium;BEL;11566041;cases;3655;18;2020-36;58.58530157;3.631320345;90977;9847;939;952;Belgium2020-36;0;
Belgium;BEL;11566041;cases;6158;17;2020-37;84.84320607;3.026100288;97135;9864;909;916;Belgium2020-37;0;
Belgium;BEL;11566041;cases;10108;27;2020-38;140.6358494;3.804240362;107243;9891;988;1016;Belgium2020-38;0;
Belgium;BEL;11566041;cases;11274;39;2020-39;184.8687896;5.706360543;118517;9930;931;985;Belgium2020-39;0;
Belgium;BEL;11566041;cases;18895;82;2020-40;260.8411988;10.461661;137412;10012;970;950;Belgium2020-40;0;
Belgium;BEL;11566041;cases;38852;140;2020-41;499.2806095;19.19412183;176264;10152;1035;1025;Belgium2020-41;0;
Belgium;BEL;11566041;cases;72232;238;2020-42;960.4323554;32.68188311;248496;10390;1115;1042;Belgium2020-42;0;
Belgium;BEL;11566041;cases;105383;505;2020-43;1535.659436;64.23978611;353879;10895;1314;1315;Belgium2020-43;0;
Belgium;BEL;11566041;cases;99584;1060;2020-44;1772.144851;135.3099129;453463;11955;1739;1543;Belgium2020-44;0;
Belgium;BEL;11566041;cases;54006;1435;2020-45;1327.939266;215.7177205;507469;13390;1849;1840;Belgium2020-45;0;
Belgium;BEL;11566041;cases;33967;1336;2020-46;760.6146304;239.5806828;541436;14726;1691;1741;Belgium2020-46;0;
Belgium;BEL;11566041;cases;22312;1131;2020-47;486.5882803;213.2968403;563748;15857;1597;1582;Belgium2020-47;0;
Belgium;BEL;11566041;cases;16261;882;2020-48;333.5021897;174.0439966;580009;16739;1418;1475;Belgium2020-48;0;
Belgium;BEL;11566041;cases;15289;700;2020-49;272.781326;136.779733;595298;17439;1304;1400;Belgium2020-49;0;
Belgium;BEL;11566041;cases;16840;665;2020-50;277.7873604;118.0179112;612138;18104;1392;1388;Belgium2020-50;0;
Belgium;BEL;11566041;cases;17714;654;2020-51;298.7539124;114.0407508;629852;18758;1364;1372;Belgium2020-51;0;
Belgium;BEL;11566041;cases;12607;536;2020-52;262.1553909;102.8874098;642459;19294;1273;1344;Belgium2020-52;0;
